회사명,제목,공고링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,가까운역,설립일,대표자명,업종,재무정보
(주)페이타랩,"[패스오더] 웹 프론트엔드 개발자 (JavaScript, React) (병역특례/산업기능요원/보충역/전직) (신입~10년 이하)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537254&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,신입·경력,학력무관,정규직,~ 01/03(금),"Javascript, 프론트엔드, 웹개발, React, CSS",회사내규에 따름,2수인분당선릉역 도보 12분 이내,1997년 03월 25일                                (업력 28년차),김대환,시스템 소프트웨어 개발 및 공급업,"매출액: 577억, 영업이익: 124.6억 (2023년 기준))"
(주)페이타랩,"[패스오더] 웹 프론트엔드 개발자 (JavaScript, React) (병역특례/산업기능요원/보충역/전직) (경력 11~20년 이하)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537255&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,경력 11~20년,학력무관,정규직,~ 01/03(금),"Javascript, 프론트엔드, 웹개발, React, CSS",회사내규에 따름,4평촌역 도보 15분 이내,2011년 03월 10일                                (업력 14년차),피터얀반데피트,응용 소프트웨어 개발 및 공급업,"매출액: 3.4조, 영업이익: 7,247.7억 (2023년 기준))"
(주)랩투마켓,"풀스택 Typescript 개발자 (자동화 장비 제어, javascript) 과장급 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49605220&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강서구,경력 6~10년,초대졸↑,정규직,~ 01/15(수),"Javascript, 프론트엔드, 웹개발, 백엔드/서버개발, TypeScript",회사내규에 따름,2수인분당선릉역 도보 1분 이내,2001년 04월 02일                                (업력 24년차),윤명진,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액 8,813.4억, 영업이익: 6,708.7억 (2023년 기준))"
(주)랩투마켓,"풀스택 Typescript 개발자 (자동화 장비 제어, javascript) 대리급 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49605214&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강서구,경력 2~5년,초대졸↑,정규직,~ 01/15(수),"Javascript, 프론트엔드, 웹개발, 백엔드/서버개발, TypeScript",회사내규에 따름,9공항마곡나루역 도보 7분 이내,2005년 10월 11일                                (업력 20년차),강대현/김정욱,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액: 2.9조, 영업이익: 8,055.2억 (2023년 기준))"
씨드로닉스(주),"Front-end 개발자 채용 (Javascript, React)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49607587&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,경력3년↑,학력무관,정규직,채용시,"Javascript, 프론트엔드, React, ReactJS, Redux",회사내규에 따름,3신분당양재역 도보 3분 이내,2002년 02월 22일                                (업력 23년차),허주환,응용 소프트웨어 개발 및 공급업,"매출액: 1,230.5억, 영업이익: 340.4억 (2023년 기준))"
(주)지란지교소프트,"[판교] Fullstack Engineer (PHP, JavaScript)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388744&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,경기  성남시 수정구,경력3년↑,학력무관,정규직,채용시,"Javascript, 프론트엔드, Java, CSS, 솔루션",회사내규에 따름,경강선경기광주역 도보 7분 이내,2000년 04월 10일                                (업력 25년차),김윤구,응용 소프트웨어 개발 및 공급업,-
마이스터정보기술(주),(마포부근)증권 간편모드 개발(JavaScript),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411081&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  마포구,경력6년↑,초대졸↑,계약직·프리랜서,~ 12/28(토),"Javascript, HTML, CSS3, Git, 소프트웨어개발",회사내규에 따름,1성균관대역 도보 7분 이내,2010년 07월 20일                                (업력 15년차),권기수/장윤중,응용 소프트웨어 개발 및 공급업,"매출액: 1.3조, 영업이익: 416.4억 (2023년 기준))"
마이스터정보기술(주),(마포부근)xx증권 HTS 클라이언트 맵화면 개발(Javascript),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49346814&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  마포구,경력6년↑,초대졸↑,프리랜서,~ 12/28(토),"Javascript, 클라이언트, 소프트웨어개발",회사내규에 따름,9공항마곡나루역 도보 7분 이내,1997년 03월 11일                                (업력 28년차),김택진/박병무,유선 온라인 게임 소프트웨어 개발 및 공급업,-
(주)제이브로,대규모사업 퍼블리싱(자바스크립트 구현)가능자 환영합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49608685&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  광진구,경력3년↑,학력무관,프리랜서,~ 01/16(목),"프론트엔드, 퍼블리셔, 소프트웨어개발",회사내규에 따름,5개화산역 도보 7분 이내,2002년 03월 06일                                (업력 23년차),배현섭,응용 소프트웨어 개발 및 공급업,-
가천대학교산학협력단,자바스크립트 FullStack 연구자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521956&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,인천  남동구,경력2년↑,대졸↑,기간제·계약직,~ 01/02(목),"Javascript, 웹개발, React, HTML, TypeScript",회사내규에 따름,2장산역 도보 3분 이내,2013년 08월 01일                                (업력 12년차),정우진,유선 온라인 게임 소프트웨어 개발 및 공급업,-
