회사명,설립일,대표자명,업종,재무정보,기업주소
(주)소만사,1997년 03월 25일                                (업력 28년차),김대환,시스템 소프트웨어 개발 및 공급업,"매출액: 577억, 영업이익: 124.6억 (2023년 기준))",서울 영등포구 영신로 220
(주)우아한형제들,2011년 03월 10일                                (업력 14년차),피터얀반데피트,응용 소프트웨어 개발 및 공급업,"매출액: 3.4조, 영업이익: 7,247.7억 (2023년 기준))","서울 송파구 위례성대로 2 (방이동,장은빌딩)"
(주)네오플,2001년 04월 02일                                (업력 24년차),윤명진,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액 8,813.4억, 영업이익: 6,708.7억 (2023년 기준))",제주 제주시 1100로 3198-13
(주)넥슨코리아,2005년 10월 11일                                (업력 20년차),강대현/김정욱,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액: 2.9조, 영업이익: 8,055.2억 (2023년 기준))",경기 성남시 분당구 판교로256번길 7
(주)아이스크림미디어,2002년 02월 22일                                (업력 23년차),허주환,응용 소프트웨어 개발 및 공급업,"매출액: 1,230.5억, 영업이익: 340.4억 (2023년 기준))",경기 성남시 분당구 판교역로 225-20
현대오토에버(주),2000년 04월 10일                                (업력 25년차),김윤구,응용 소프트웨어 개발 및 공급업,-,서울 강남구 테헤란로 510
(주)카카오엔터테인먼트,2010년 07월 20일                                (업력 15년차),권기수/장윤중,응용 소프트웨어 개발 및 공급업,"매출액: 1.3조, 영업이익: 416.4억 (2023년 기준))","경기 성남시 분당구 판교역로 221, 6층 (삼평동,투썬월드빌딩)"
(주)엔씨소프트,1997년 03월 11일                                (업력 28년차),김택진/박병무,유선 온라인 게임 소프트웨어 개발 및 공급업,-,서울 강남구 테헤란로 509
슈어소프트테크(주),2002년 03월 06일                                (업력 23년차),배현섭,응용 소프트웨어 개발 및 공급업,-,"경기 성남시 수정구 금토로80번길 37, E동 (금토동,인피니티타워)"
엔에이치엔(주),2013년 08월 01일                                (업력 12년차),정우진,유선 온라인 게임 소프트웨어 개발 및 공급업,-,경기 성남시 분당구 대왕판교로645번길 16
(주)크래프톤,2007년 03월 26일                                (업력 18년차),김창한,게임 소프트웨어 개발 및 공급업,-,서울 강남구 테헤란로 231
(주)미리디,2008년 05월 23일                                (업력 17년차),강창석,응용 소프트웨어 개발 및 공급업,"매출액: 606.8억, 영업이익: 76.9억 (2023년 기준)","서울 구로구 디지털로31길 12, 8층, 13층, 14층, 1004호 (구로동,태평양물산)"
넛지헬스케어(주),2016년 07월 27일                                (업력 9년차),박정신,응용 소프트웨어 개발 및 공급업,"매출액: 792.3억, 영업이익 90.6억 (2023년 기준)","서울 강남구 역삼로1길 8 (역삼동,평익빌딩)"
(주)솔트룩스,1981년 08월 17일                                (업력 44년차),이경일,응용 소프트웨어 개발 및 공급업,-,"서울 송파구 올림픽로35길 123, 9층 (신천동,향군타워)"
(주)잉카인터넷,2000년 01월 31일                                (업력 25년차),주영흠,시스템 소프트웨어 개발 및 공급업,매출액 126.2억 영업이익 10억 (2023년 기준) 전체),"서울 강서구 마곡중앙14로 53 (마곡동,잉카인터넷)"
(주)위즈코리아,2003년 07월 01일                                (업력 22년차),김기배,응용 소프트웨어 개발 및 공급업,매출액 106억 영업이익 13.7억 (2023년 기준) 전체),"서울 강서구 마곡중앙14로 53 (마곡동,잉카인터넷)"
