"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"(주)마크로젠","㈜마크로젠 Oligo기술서비스부 인턴 (정규직 전환형) 채용","https://www.saramin.co.krundefined","서울 금천구 외","신입 · 인턴직","대학교(4년)↑","~01.17(금)","인턴","면접 후 협의"
"한국원자력안전기술원","2025년 1차 청년인턴 공개채용(경영지원)","https://www.saramin.co.krundefined","대전 유성구","경력무관 · 인턴직","대학교(4년)↑","~01.02(목)","인턴","면접 후 협의"
"한국원자력안전기술원","2025년 1차 청년인턴 공개채용(규제지원)","https://www.saramin.co.krundefined","대전 유성구","경력무관 · 인턴직","대학교(4년)↑","~01.02(목)","인턴","면접 후 협의"
"프레스티지바이오로직스(주)","[프레스티지바이오로직스]배양/정제팀 팀원급 담당자 모집","https://www.saramin.co.krundefined","충북 청주시 흥덕구","경력무관 · 정규직 외","대학교(4년)↑","~01.17(금)","인턴","면접 후 협의"
"네이버제트(주)","[NAVER Z] 콘텐츠 마케팅 체험형 인턴","https://www.saramin.co.krundefined","경기 성남시 분당구","신입 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"제이티인터내셔널코리아(주)","RRP Brand Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"제이티인터내셔널코리아(주)","Sales Planning Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"(주)브이아이피자산운용","[브이아이피자산운용] 전략기획본부 마케팅기획팀 인턴사원 채용","https://www.saramin.co.krundefined","서울 서초구","경력무관 · 인턴직","학력무관","D-7","인턴","면접 후 협의"
"제이티인터내셔널코리아(주)","Legal Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"미래에셋자산운용(주)","투자풀운용부문 투자풀사업팀 정규직 전환형 인턴사원(신입)","https://www.saramin.co.krundefined","서울 종로구","신입 · 정규직 외","대학교(4년)↑","~01.01(수)","인턴","면접 후 협의"
"제이티인터내셔널코리아(주)","Strategic Insights Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"미래에셋자산운용(주)","주택도시기금운용부문 채권투자팀 정규직 전환형 인턴사원(신입)","https://www.saramin.co.krundefined","서울 종로구","신입 · 정규직 외","대학교(4년)↑","~01.01(수)","인턴","면접 후 협의"
"안동시시설관리공단","2025년도 상반기 체험형 청년인턴 채용 공고","https://www.saramin.co.krundefined","경북 안동시","경력무관 · 인턴직","학력무관","D-5","인턴","면접 후 협의"
"미래에셋자산운용(주)","[미래에셋자산운용]주식운용부문 리서치본부 정규직 전환형 인턴","https://www.saramin.co.krundefined","서울 종로구","신입 · 정규직 외","대학교(4년)↑","D-7","인턴","면접 후 협의"
"(주)바이넥스","(주)바이넥스 인천(송도) 인사팀 신입/경력사원 모집","https://www.saramin.co.krundefined","인천 연수구","신입 · 경력 · 정규직 외","대학교(4년)↑","D-7","인턴","면접 후 협의"
"㈜유유제약","㈜유유제약 인사실(복지/시설/총무) 신입/경력직 모집","https://www.saramin.co.krundefined","서울 중구","신입 · 경력 · 정규직 외","대학교(4년)↑","~12.31(화)","인턴","면접 후 협의"
"(주)아모레퍼시픽","24년 AMOREPACIFIC 판매사원 채용_설화수플래그십스토어(글로벌)","https://www.saramin.co.krundefined","서울전체","신입 · 경력 · 정규직 외","고졸↑","D-5","인턴","면접 후 협의"
"(주)뉴엠텍","[삼성반도체 1차협력사] 생산사원 채용 (통근운행/초보가능)","https://www.saramin.co.krundefined","경기 화성시 외","신입 · 정규직 외","고졸↑","~01.17(금)","인턴","면접 후 협의"
