"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"국제약품(주)","국제약품(주) 약사/분석연구실/영업직 신입•경력 채용","https://www.saramin.co.krundefined","경기 안산시 외","신입 · 경력 · 정규직 외","대학(2,3년)↑","D-7","신입","면접 후 협의"
"대구지방조달청","기간제근로자 (조리사) 공개경쟁 채용시험 공고","https://www.saramin.co.krundefined","대구 달서구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"경북대학교","[상주캠퍼스] 행정지원부 계약직원 등(조경관리) 채용","https://www.saramin.co.krundefined","경북 상주시","경력무관 · 계약직","학력무관","~12.31(화)","신입","면접 후 협의"
"(주)마크로젠","㈜마크로젠 Oligo기술서비스부 인턴 (정규직 전환형) 채용","https://www.saramin.co.krundefined","서울 금천구 외","신입 · 인턴직","대학교(4년)↑","~01.17(금)","신입","면접 후 협의"
"경북대학교","[상주캠퍼스] 행정지원부 계약직원 등(냉난방운전) 채용","https://www.saramin.co.krundefined","경북 상주시","경력무관 · 계약직","학력무관","~12.31(화)","신입","면접 후 협의"
"(재)우체국물류지원단","기간제(사무보조직) 채용 공고","https://www.saramin.co.krundefined","서울 광진구","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"(재)성남문화재단","성남아트센터 어린이놀이방 보육교사(기간제 근로자) 채용","https://www.saramin.co.krundefined","경기 성남시 분당구","경력무관 · 계약직","학력무관","~12.31(화)","신입","면접 후 협의"
"재단법인 군위문화관광재단","2025년도 청년일자리 채용 재공고(운영팀)","https://www.saramin.co.krundefined","대구 군위군","경력무관 · 계약직","학력무관","~12.26(목)","신입","면접 후 협의"
"(재)우체국물류지원단","광주지사 기간제(사무직) 채용 공고","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"현대아이에프씨(주)","현대 IFC (현대제철 자회사)  영업 신입/경력직 채용","https://www.saramin.co.krundefined","전남 순천시","신입 · 경력 · 정규직","대학교(4년)↑","~01.01(수)","신입","면접 후 협의"
"(재)우체국물류지원단","광주지사 전주사업소 기간제(운전직) 채용 공고","https://www.saramin.co.krundefined","전북 완주군","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"국립농산물품질관리원","제주지원 채용공고(농업경영체 등록 공무직)","https://www.saramin.co.krundefined","제주 제주시 외","경력무관 · 정규직 외","학력무관","D-6","신입","면접 후 협의"
"(주)수성엔지니어링","(주)수성엔지니어링 미래전략실 신입사원 정규직 모집","https://www.saramin.co.krundefined","서울 송파구","신입 · 정규직","대학교(4년)↑","~01.17(금)","신입","면접 후 협의"
"재단법인 군위문화관광재단","2025년도 청년일자리 채용 재공고(경영기획팀)","https://www.saramin.co.krundefined","대구 군위군","경력무관 · 계약직","학력무관","~12.26(목)","신입","면접 후 협의"
"서울특별시도봉구시설관리공단","2025년 상반기 기간제 직원 공개경쟁 채용공고(헬스)","https://www.saramin.co.krundefined","서울 도봉구","경력무관 · 계약직","학력무관","~01.07(화)","신입","면접 후 협의"
"서울특별시도봉구시설관리공단","2025년 상반기 기간제 직원 공개경쟁 채용공고(운영)","https://www.saramin.co.krundefined","서울 도봉구","경력무관 · 계약직","학력무관","~01.07(화)","신입","면접 후 협의"
"서울특별시도봉구시설관리공단","2025년 상반기 정규직 직원 공개경쟁 채용공고(일반)","https://www.saramin.co.krundefined","서울 도봉구","경력무관 · 정규직","학력무관","~01.07(화)","신입","면접 후 협의"
"서울특별시도봉구시설관리공단","2025년 상반기 정규직 직원 공개경쟁 채용공고(무대)","https://www.saramin.co.krundefined","서울 도봉구","경력무관 · 정규직","학력무관","~01.07(화)","신입","면접 후 협의"
"서울특별시도봉구시설관리공단","2025년 상반기 정규직 직원 공개경쟁 채용공고(수영)","https://www.saramin.co.krundefined","서울 도봉구","경력무관 · 정규직","학력무관","~01.07(화)","신입","면접 후 협의"
"한국체육대학교","대학회계직원(조리) 채용","https://www.saramin.co.krundefined","서울 송파구","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"재단법인 군위문화관광재단","2025년도 기간제근로자 채용 재공고(운영요원)","https://www.saramin.co.krundefined","대구 군위군","경력무관 · 계약직","학력무관","~12.26(목)","신입","면접 후 협의"
"(주)텔레칩스","[판교 사옥] 정부과제 담당자","https://www.saramin.co.krundefined","경기 성남시 수정구","경력무관 · 정규직","학력무관","~12.31(화)","신입","면접 후 협의"
"금융위원회","금융정보분석원 영문에디터(기간제근로자) 채용","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 계약직","대학교(4년)↑","~01.07(화)","신입","면접 후 협의"
"국립현대미술관","기간제근로자(미술아카이브) 채용 공고","https://www.saramin.co.krundefined","경기 과천시","경력무관 · 계약직","대학교(4년)↑","~12.27(금)","신입","면접 후 협의"
"국립공원공단","[태안] 2024년 태안해안 한시인력(수익시설) 채용","https://www.saramin.co.krundefined","충남 태안군","경력무관 · 계약직","학력무관","D-3","신입","면접 후 협의"
"국립공원공단 국립공원연구원","2025년도 국립공원연구원 국립공원지킴이(녹색순찰대) 모집 공고","https://www.saramin.co.krundefined","강원 원주시 외","경력무관 · 계약직","학력무관","~12.26(목)","신입","면접 후 협의"
"한국원자력안전기술원","2025년 1차 청년인턴 공개채용(경영지원)","https://www.saramin.co.krundefined","대전 유성구","경력무관 · 인턴직","대학교(4년)↑","~01.02(목)","신입","면접 후 협의"
"현대힘스(주)","현대힘스) 2024년 자금/출납 계약직  직원 채용 안내(울산)","https://www.saramin.co.krundefined","울산 북구","신입 · 계약직","대학(2,3년)↑","D-7","신입","3,500 만원"
"국립공원공단","내장산국립공원백암사무소 기간제(수익시설) 직원 채용","https://www.saramin.co.krundefined","전남 장성군","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"한국원자력안전기술원","2025년 1차 청년인턴 공개채용(규제지원)","https://www.saramin.co.krundefined","대전 유성구","경력무관 · 인턴직","대학교(4년)↑","~01.02(목)","신입","면접 후 협의"
"국립공원공단","2025년 북한산국립공원사무소 국립공원지킴이 모집 공고","https://www.saramin.co.krundefined","서울 성북구","경력무관 · 계약직","학력무관","~12.26(목)","신입","면접 후 협의"
"(주)영광","(주)영광 모듈생산팀 인원모집","https://www.saramin.co.krundefined","울산 울주군","경력무관 · 정규직","학력무관","~01.17(금)","신입","면접 후 협의"
"메타빌드(주)","메타빌드(주) 재경관리실 회계 사무보조 단기 계약직 채용","https://www.saramin.co.krundefined","서울 서초구","신입 · 경력 · 계약직","학력무관","~01.17(금)","신입","면접 후 협의"
"아이티사이언스(주)","창원사업장 방산 생산직 경력/신입 사원(정규직) 채용 공고","https://www.saramin.co.krundefined","경남 창원시","신입 · 경력 · 정규직","고졸↑","~02.16(일)","신입","면접 후 협의"
"(주)모팜","[현대기아1차협력사]인사/ 총무팀 인원 채용 (신입/경력)","https://www.saramin.co.krundefined","울산 북구","신입 · 경력 · 정규직","대학교(4년)↑","채용시","신입","면접 후 협의"
"프레스티지바이오로직스(주)","[프레스티지바이오로직스]배양/정제팀 팀원급 담당자 모집","https://www.saramin.co.krundefined","충북 청주시 흥덕구","경력무관 · 정규직 외","대학교(4년)↑","~01.17(금)","신입","면접 후 협의"
"국립공원공단","[월출산] 월출산국립공원 2025년 기간제(수익시설)직원 채용","https://www.saramin.co.krundefined","전남 영암군 외","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"네이버제트(주)","[NAVER Z] 콘텐츠 마케팅 체험형 인턴","https://www.saramin.co.krundefined","경기 성남시 분당구","신입 · 인턴직","학력무관","~12.31(화)","신입","면접 후 협의"
"(주)소만사","판교에서 함께 근무할 오픈스택 클라우드 플랫폼 개발자","https://www.saramin.co.krundefined","서울 영등포구","신입 · 경력 · 정규직","대학(2,3년)↑","~12.29(일)","신입","면접 후 협의"
"제이티인터내셔널코리아(주)","RRP Brand Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","신입","면접 후 협의"
"한일개발(주)","한일개발 건축/안전(보건) 경력사원 모집","https://www.saramin.co.krundefined","서울 서초구 외","신입 · 경력 · 정규직 외","대학(2,3년)↑","~12.31(화)","신입","면접 후 협의"
"국립공원공단","북부권역 내(설악산탐방원) 공무직(탐방해설) 직원 채용","https://www.saramin.co.krundefined","강원 인제군","경력무관 · 정규직 외","학력무관","D-4","신입","면접 후 협의"
"제이티인터내셔널코리아(주)","Sales Planning Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","신입","면접 후 협의"
"고양시청","제9보병사단 공무직 근로자(도서관 사서) 채용 공고","https://www.saramin.co.krundefined","경기 파주시","경력무관 · 정규직 외","학력무관","D-5","신입","면접 후 협의"
"(주)브이아이피자산운용","[브이아이피자산운용] 전략기획본부 마케팅기획팀 인턴사원 채용","https://www.saramin.co.krundefined","서울 서초구","경력무관 · 인턴직","학력무관","D-7","신입","면접 후 협의"
"제이티인터내셔널코리아(주)","Legal Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","신입","면접 후 협의"
"고려대학교의료원","[안암병원]간호부(중환자실-딜리버리) 계약직 일반업무원 모집","https://www.saramin.co.krundefined","서울 성북구","경력무관 · 계약직","학력무관","D-4","신입","면접 후 협의"
"(주)경동사","(주)경동사(본사)에서 구매 반품담당 직원을 모집합니다","https://www.saramin.co.krundefined","대구 북구","신입 · 정규직","학력무관","~01.17(금)","신입","면접 후 협의"
"국립공원공단","[내장산] 2025년 내장산사무소 국립공원지킴이 모집 공고","https://www.saramin.co.krundefined","전북 정읍시","경력무관 · 계약직","학력무관","~12.27(금)","신입","면접 후 협의"
"고려대학교의료원","[안암병원]영상의학과 계약직 방사선사 모집","https://www.saramin.co.krundefined","서울 성북구","경력무관 · 계약직","학력무관","D-4","신입","면접 후 협의"
"(의)삼광의료재단","[삼광의료재단] 2024년 임상병리사(진단) 계약직 수시채용","https://www.saramin.co.krundefined","서울 서초구","신입 · 계약직","대학(2,3년)↑","~12.27(금)","신입","면접 후 협의"
"(주)세라젬","[세라젬] 생산팀 사원 채용","https://www.saramin.co.krundefined","충남 천안시 서북구","경력무관 · 계약직","고졸↑","D-6","신입","면접 후 협의"
"고려대학교의료원","[안암병원]총무팀(인사파트) 연말정산 계약직 일반업무원 모집","https://www.saramin.co.krundefined","서울 성북구","경력무관 · 계약직","학력무관","D-7","신입","면접 후 협의"
"NH농협은행(주)","NH농협은행 울산경제진흥원지점 파출수납처 차량등록사업소","https://www.saramin.co.krundefined","울산 북구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
