"회사명","제목","공고링크","지역","마감일","가까운역"
"센시 주식회사","(센시 주식회사) '24년 하반기 각 부문별 인재 영입","https://www.saramin.co.krundefined","서울 강남구","~01.17(금)","2수인분당선릉역 도보 12분 이내"
"주식회사 미토교육","중등선생님(월300) /  초등부 전임,파트강사","https://www.saramin.co.krundefined","경기 안양시 동안구","~01.14(화)","4평촌역 도보 15분 이내"
"(주)맨파워그룹코리아","[선릉역/1Y] 글로벌 건축자재 기업 'S'사 임원비서 총무(전환)","https://www.saramin.co.krundefined","서울 강남구","~01.15(수)","2수인분당선릉역 도보 1분 이내"
"(주)맨파워그룹코리아","[대기업/LG전자/최고복지] 마곡방위지원파트 사무 모집","https://www.saramin.co.krundefined","서울 강서구","채용시","9공항마곡나루역 도보 7분 이내"
"(주)아스타아이비에스","[도루코 양재사옥] 보안사원 모집","https://www.saramin.co.krundefined","서울 강남구","~01.11(토)","3신분당양재역 도보 3분 이내"
"(주)윌앤비전","[경기광주] ICT폴리텍대학 시설관리 (영선) 경력직 모집","https://www.saramin.co.krundefined","경기 광주시","~01.01(수)","경강선경기광주역 도보 7분 이내"
"비사이드원","상업 공간 디자이너 경력직 모집","https://www.saramin.co.krundefined","경기 수원시 장안구","~01.12(일)","1성균관대역 도보 7분 이내"
"(주)맨파워그룹코리아","[마곡/복지최상/연3,300이상] LG전자 R&amp;D자원운영팀 사무 모집","https://www.saramin.co.krundefined","서울 강서구","채용시","9공항마곡나루역 도보 7분 이내"
"(주)맨파워그룹코리아","MPK 대한항공 김포공항 국제선 라운지 경력직 채용","https://www.saramin.co.krundefined","서울 강서구","내일마감","5개화산역 도보 7분 이내"
"입시 란샘영어학원","급구)초중  영어  강사 경력사원 채용(정규직)","https://www.saramin.co.krundefined","부산 해운대구","~12.28(토)","2장산역 도보 3분 이내"
"(주)맨파워그룹코리아","[마곡/복지최상/연3,300이상] LG전자 VS개발환경개선 사무 모집","https://www.saramin.co.krundefined","서울 강서구","채용시","9공항마곡나루역 도보 7분 이내"
"엔에이치엔(주)","[NHN] 게임 사업 홍보","https://www.saramin.co.krundefined","경기 성남시 분당구","채용시","경강선신분당판교역 도보 15분 이내"
"(주)맨파워그룹코리아","[대기업/LG전자/최고복지] 마곡방위지원팀 사무 모집","https://www.saramin.co.krundefined","서울 강서구","채용시","9공항마곡나루역 도보 7분 이내"
"(주)맨파워그룹코리아","[봉은사역/신입] 글로벌 탑티어 컨설팅펌 임원비서 채용","https://www.saramin.co.krundefined","서울 강남구","~01.16(목)","9봉은사역 도보 3분 이내"
"(주)맨파워그룹코리아","[봉은사역] 글로벌 탑티어 컨설팅펌 IT 인원 채용","https://www.saramin.co.krundefined","서울 강남구","~01.16(목)","9봉은사역 도보 3분 이내"
"휴머니아","[강남역 / 주5일]KB손해보험  임원 비서 채용","https://www.saramin.co.krundefined","서울 강남구","~01.16(목)","2신분당강남역 도보 4분 이내"
"(주)하림지주","[하림그룹] 임원전담비서(비서자금업무) 채용","https://www.saramin.co.krundefined","서울 강남구","D-4","3신분당신사역 도보 4분 이내"
"포즈의원","연봉 세전 3,400 이상) 수술팀 간호조무사 채용합니다.","https://www.saramin.co.krundefined","서울 강남구","상시채용","3압구정역 도보 4분 이내"
"주식회사 더프리마","[주식회사 더프리마] 더프리마호텔 종로 객실팀 프론트직원 채용","https://www.saramin.co.krundefined","서울 종로구","채용시","1종각역 도보 7분 이내"
"(주)맨파워그룹코리아","[평택/급여최상] 반도체 장비 1위 기업 안전관리자(6M/산휴)","https://www.saramin.co.krundefined","경기 평택시","채용시","1평택지제역 도보 12분 이내"
"(주)비즈인사이트","[정규직][연신내역] AIA생명TM센터 총무 채용","https://www.saramin.co.krundefined","서울 서대문구","~12.26(목)","25충정로역 도보 1분 이내"
"(주)에스이에스","[대기업/강동/통근] 삼성E&amp;A 사무보조 (교육지원) 채용","https://www.saramin.co.krundefined","서울 강동구","D-6","5강일역 도보 15분 이내"
"현대엘리베이터서비스(주)","[용인]승강기 유지관리 서비스 기사 채용","https://www.saramin.co.krundefined","경기 용인시 처인구 외","채용시","에버라인삼가역 도보 7분 이내"
"(주)맨파워그룹코리아","[정규직/보훈] 일본 메가 글로벌 은행 CRM 부서 행원 채용","https://www.saramin.co.krundefined","서울 중구","~01.04(토)","12시청역 도보 7분 이내"
"현대엘리베이터서비스(주)","[수도권]승강기 서비스 영업직 채용","https://www.saramin.co.krundefined","서울 종로구","채용시","1종로5가역 도보 12분 이내"
"(주)아스타아이비에스","[도루코 양재사옥] 조리사원 모집","https://www.saramin.co.krundefined","서울 강남구","~01.11(토)","3신분당양재역 도보 3분 이내"
